Tempo	População	R	Temps
0	50	0.07	22
1	166.70608740199015	2.3341217480398027	22.9585745708833
2	547.7493380562933	2.285718875612902	22.482480743733458
3	1819.8987783637417	2.32250292592176	22.84429107464026
4	5939.213553777843	2.263485653371199	22.263793311847856
5	12935.015498412187	1.1779003871959481	21.41637067628996
6	28368.454372495187	1.1931519429549582	21.693671690090145
7	92377.22553219137	2.256336221890054	22.193471034984135
8	303126.2046551686	2.2813954187175276	22.439954938205187
9	1003563.7584127397	2.3107126437794365	22.72832108635511
10	3341941.372970591	2.3300737944705023	22.918758634136086
11	11335755.358559545	2.391967151261962	23.527545750117653
12	39547997.15505466	2.4887835794014603	24.479838485915998
13	141757548.40092796	2.5844431728146264	25.420752519488126
14	522494074.51861244	2.685828941121785	26.417989584804435
15	1928777427.6020548	2.6914819165730988	26.473592622030477
16	7095642446.292448	2.678829057593275	26.34913827140926
17	26478545407.55818	2.7316628632257984	26.868815048122602
18	99483699317.41301	2.757143671835381	27.11944595247915
19	372620666616.80743	2.7455449402612455	27.005360068143396
20	1359459957199.4587	2.648375087572609	26.049591025304345
21	4894166487588.802	2.600081386487454	25.574571014630692
22	18007154582023.695	2.679309771681927	26.353866606707477
23	64909864090801.34	2.6046707876656985	25.619712665564244
24	235623701366198.0	2.6300137839849405	25.868988039196132
25	860532745684659.5	2.652148492257364	26.08670648121997
26	3197277375112225.5	2.7154627655318317	26.70946982490326
27	1.1737873313082178e+16	2.671208949354973	26.27418638709809
28	4.2451145707518904e+16	2.616596002974913	25.73700986532701
29	1.504553387650545e+17	2.544199720819455	25.024915286748733
30	5.2882360167890406e+17	2.5148211158176013	24.7359454014846
